doc_id	relation_id	relation_name	gene_words	hpoterm_words	words
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_51_51_7_7_13_13	TMP/HP:0009733|Glioma	{7}	{13}	{while,protecting,hippocampal,neurons,and,demonstrated,that,TMP,promotes,the,regression,of,malignant,gliomas,in,vivo,[,14,],.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_52_52_8_8_14_14	TMP/HP:0009733|Glioma	{8}	{14}	{In,previous,studies,",",we,ﬁrst,demonstrated,that,TMP,protects,cerebral,neurocytes,and,inhibits,glioma,cells,by,down-regulating,the,expression,of,the,chemokine,receptor,CXCR4,[,15,],.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_52_52_24_24_14_14	CXCR4/HP:0009733|Glioma	{24}	{14}	{In,previous,studies,",",we,ﬁrst,demonstrated,that,TMP,protects,cerebral,neurocytes,and,inhibits,glioma,cells,by,down-regulating,the,expression,of,the,chemokine,receptor,CXCR4,[,15,],.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_53_53_4_4_43_43	CXCR4/HP:0009733|Glioma	{4}	{43}	{The,TMP-mediated,down-regulation,of,CXCR4,in,cerebral,neurocytes,inhibits,somatic,Ca2,+,increase,",",decreases,glutamate,release,from,glial,cells,",",and,effectively,inhibits,the,viability,and,migration,of,cultured,C6,glioma,cells,",",which,induces,neural,protection,and,the,suppression,of,C6,gliomas,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_53_53_4_4_31_31	CXCR4/HP:0009733|Glioma	{4}	{31}	{The,TMP-mediated,down-regulation,of,CXCR4,in,cerebral,neurocytes,inhibits,somatic,Ca2,+,increase,",",decreases,glutamate,release,from,glial,cells,",",and,effectively,inhibits,the,viability,and,migration,of,cultured,C6,glioma,cells,",",which,induces,neural,protection,and,the,suppression,of,C6,gliomas,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_53_53_30_30_31_31	C6/HP:0009733|Glioma	{30}	{31}	{The,TMP-mediated,down-regulation,of,CXCR4,in,cerebral,neurocytes,inhibits,somatic,Ca2,+,increase,",",decreases,glutamate,release,from,glial,cells,",",and,effectively,inhibits,the,viability,and,migration,of,cultured,C6,glioma,cells,",",which,induces,neural,protection,and,the,suppression,of,C6,gliomas,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_53_53_30_30_43_43	C6/HP:0009733|Glioma	{30}	{43}	{The,TMP-mediated,down-regulation,of,CXCR4,in,cerebral,neurocytes,inhibits,somatic,Ca2,+,increase,",",decreases,glutamate,release,from,glial,cells,",",and,effectively,inhibits,the,viability,and,migration,of,cultured,C6,glioma,cells,",",which,induces,neural,protection,and,the,suppression,of,C6,gliomas,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_53_53_42_42_31_31	C6/HP:0009733|Glioma	{42}	{31}	{The,TMP-mediated,down-regulation,of,CXCR4,in,cerebral,neurocytes,inhibits,somatic,Ca2,+,increase,",",decreases,glutamate,release,from,glial,cells,",",and,effectively,inhibits,the,viability,and,migration,of,cultured,C6,glioma,cells,",",which,induces,neural,protection,and,the,suppression,of,C6,gliomas,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_53_53_42_42_43_43	C6/HP:0009733|Glioma	{42}	{43}	{The,TMP-mediated,down-regulation,of,CXCR4,in,cerebral,neurocytes,inhibits,somatic,Ca2,+,increase,",",decreases,glutamate,release,from,glial,cells,",",and,effectively,inhibits,the,viability,and,migration,of,cultured,C6,glioma,cells,",",which,induces,neural,protection,and,the,suppression,of,C6,gliomas,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_56_56_3_3_25_26	CXCR4/HP:0002206|Pulmonary fibrosis	{3}	{25,26}	{The,SDF-1,/,CXCR4,axis,is,involved,in,the,pathogenesis,of,several,diseases,",",such,as,HIV,",",cancer,",",pathological,angiogenesis,and,myocardial,and,pulmonary,fibrosis,[,19,],.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_61_61_1_1_12_13	CXCR4/HP:0002206|Pulmonary fibrosis	{1}	{12,13}	{The,CXCR4,antagonist,",",AMD3100,",",decreased,CXCR4,expression,and,signiﬁcantly,attenuated,pulmonary,fibrosis,in,rats,[,23,],.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_61_61_7_7_12_13	CXCR4/HP:0002206|Pulmonary fibrosis	{7}	{12,13}	{The,CXCR4,antagonist,",",AMD3100,",",decreased,CXCR4,expression,and,signiﬁcantly,attenuated,pulmonary,fibrosis,in,rats,[,23,],.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_69_69_3_3_5_6	TMP/HP:0011496|Corneal neovascularization	{3}	{5,6}	{We,demonstrated,that,TMP,inhibits,corneal,neovascularization,(,NV,),induced,through,alkali,burn,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_396_396_31_31_18_19	T1/HP:0002140|Ischemic stroke	{31}	{18,19}	{You,],l,"\\\\",’,I,",",Zhang,ZG,",",Lin,C,",",Ji,YX,(,2010,),Ischemic,stroke,and,the,regulation,of,syndrome,of,traditiona_l,Chinese,medicine,compound,efficacy,T1,"\\\\",’,IP,combined,",",Chin,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_396_396_34_34_18_19	IP/HP:0002140|Ischemic stroke	{34}	{18,19}	{You,],l,"\\\\",’,I,",",Zhang,ZG,",",Lin,C,",",Ji,YX,(,2010,),Ischemic,stroke,and,the,regulation,of,syndrome,of,traditiona_l,Chinese,medicine,compound,efficacy,T1,"\\\\",’,IP,combined,",",Chin,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0088176.pdf_442_442_1_1_21_21	XG/HP:0002665|Lymphoma	{1}	{21}	{Yang,XG,",",Jiang,C,(,2010,),Ligustrazine,as,a,salvage,agent,for,patients,with,relapsed,or,refractory,non-Hodgkin,’s,lymphoma,",","\\\\",],.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0088176.pdf_442_442_1_1_21_21_UNSUP	XG/HP:0002665|Lymphoma	{1}	{21}	{Yang,XG,",",Jiang,C,(,2010,),Ligustrazine,as,a,salvage,agent,for,patients,with,relapsed,or,refractory,non-Hodgkin,’s,lymphoma,",","\\\\",],.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_470_470_7_7_23_23	SC/HP:0009733|Glioma	{7}	{23}	{Fu,YS,",",Lin,YY,",",Chou,SC,",",Fu,YY,",",VVangJY,",",et,al.,(,2008,),Tetra_methy1pyrazine,inhibits,activities,of,glioma,cells,and,glutamate,neuro-excitotoxicity,:,potential,therapeutic,application,for,treatment,of,gliomas,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_470_470_7_7_35_35	SC/HP:0009733|Glioma	{7}	{35}	{Fu,YS,",",Lin,YY,",",Chou,SC,",",Fu,YY,",",VVangJY,",",et,al.,(,2008,),Tetra_methy1pyrazine,inhibits,activities,of,glioma,cells,and,glutamate,neuro-excitotoxicity,:,potential,therapeutic,application,for,treatment,of,gliomas,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_472_472_4_4_34_34	XK/HP:0009733|Glioma	{4}	{34}	{Chen,Z,",",Pan,XK,",",Georgakilas,AG,",",Chen,P,",",Zhuang,J,",",et,al.,(,2013,),Tetramethylpyrazine,(,T1,"\\\\",’,IP,),protects,cerebral,neurocytes,and,inhil,),its,glioma,by,down,regulating,chemokine,receptor,CXCR4,expression,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_472_472_22_22_34_34	T1/HP:0009733|Glioma	{22}	{34}	{Chen,Z,",",Pan,XK,",",Georgakilas,AG,",",Chen,P,",",Zhuang,J,",",et,al.,(,2013,),Tetramethylpyrazine,(,T1,"\\\\",’,IP,),protects,cerebral,neurocytes,and,inhil,),its,glioma,by,down,regulating,chemokine,receptor,CXCR4,expression,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_472_472_25_25_34_34	IP/HP:0009733|Glioma	{25}	{34}	{Chen,Z,",",Pan,XK,",",Georgakilas,AG,",",Chen,P,",",Zhuang,J,",",et,al.,(,2013,),Tetramethylpyrazine,(,T1,"\\\\",’,IP,),protects,cerebral,neurocytes,and,inhil,),its,glioma,by,down,regulating,chemokine,receptor,CXCR4,expression,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_472_472_40_40_34_34	CXCR4/HP:0009733|Glioma	{40}	{34}	{Chen,Z,",",Pan,XK,",",Georgakilas,AG,",",Chen,P,",",Zhuang,J,",",et,al.,(,2013,),Tetramethylpyrazine,(,T1,"\\\\",’,IP,),protects,cerebral,neurocytes,and,inhil,),its,glioma,by,down,regulating,chemokine,receptor,CXCR4,expression,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0088176.pdf_476_476_4_4_21_21	PH/HP:0009733|Glioma	{4}	{21}	{Zhou,Y,",",Larsen,PH,",",Hao,C,",",Yong,VVV,(,2002,),CXCR4,is,a,major,chemokine,receptor,on,glioma,cells,and,mediates,their,survival,",",Biol,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0088176.pdf_476_476_4_4_21_21_UNSUP	PH/HP:0009733|Glioma	{4}	{21}	{Zhou,Y,",",Larsen,PH,",",Hao,C,",",Yong,VVV,(,2002,),CXCR4,is,a,major,chemokine,receptor,on,glioma,cells,and,mediates,their,survival,",",Biol,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_476_476_14_14_21_21	CXCR4/HP:0009733|Glioma	{14}	{21}	{Zhou,Y,",",Larsen,PH,",",Hao,C,",",Yong,VVV,(,2002,),CXCR4,is,a,major,chemokine,receptor,on,glioma,cells,and,mediates,their,survival,",",Biol,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_478_478_19_19_43_43	J1/HP:0100843|Glioblastoma	{19}	{43}	{Kioi,1,"\\\\",’,I,",",Vogel,H,",",Schultz,G,",",Hoffman,R1,"\\\\",’,I,",",Brown,J1,"\\\\",’,I,",",et,al.,(,2010,),Inhil,),ition,of,vasculogenesis,",",but,not,angiogenesis,",",prevents,the,recurrence,of,glioblastoma,after,irradiation,in,mice,",",ClinJ,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_490_490_7_7_22_23	R1/HP:0002206|Pulmonary fibrosis	{7}	{22,23}	{Nlehrad,B,",",Burdick,"1\\\\/ID",",",Strieter,R1,"\\\\",’,I,(,2009,),Fibrocyte,CXCR4,regulation,as,a,therapeutic,target,in,pulmonary,fibrosis,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_490_490_15_15_22_23	CXCR4/HP:0002206|Pulmonary fibrosis	{15}	{22,23}	{Nlehrad,B,",",Burdick,"1\\\\/ID",",",Strieter,R1,"\\\\",’,I,(,2009,),Fibrocyte,CXCR4,regulation,as,a,therapeutic,target,in,pulmonary,fibrosis,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_503_503_10_10_29_29	XK/HP:0009733|Glioma	{10}	{29}	{Yu,Kl,"\\\\",’,I,",",Chen,Z,",",Pan,XK,",",Yang,Y,",",Zhuang,J,",",et,al.,(,2012,),Tetramethylpyr,~,azine-mediated,suppression,of,C6,gliomas,involves,inhibition,of,chemokine,receptor,CXCR4,expression,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_503_503_28_28_29_29	C6/HP:0009733|Glioma	{28}	{29}	{Yu,Kl,"\\\\",’,I,",",Chen,Z,",",Pan,XK,",",Yang,Y,",",Zhuang,J,",",et,al.,(,2012,),Tetramethylpyr,~,azine-mediated,suppression,of,C6,gliomas,involves,inhibition,of,chemokine,receptor,CXCR4,expression,.}
journal.pone.0035511.pdf	RELATION_GENEHPOTERM_journal.pone.0035511.pdf_302_302_10_10_14_14	CFLAR/HP:0100753|Schizophrenia	{10}	{14}	{Our,qRTPCR,investigation,did,not,conﬁrm,or,replicate,the,increased,CFLAR,expression,observed,in,schizophrenia,tissue,by,microarray,.}
journal.pone.0035511.pdf	RELATION_GENEHPOTERM_journal.pone.0035511.pdf_325_325_1_1_27_27	BAX/HP:0100753|Schizophrenia	{1}	{27}	{as,BAX,and,BCL-2,",",has,been,observed,to,be,regulated,by,several,different,antidepressants,and,mood,stabilizers,[,60,],commonly,prescribed,to,both,patients,with,schizophrenia,and,bipolar,disorder,",",we,explored,but,did,not,ﬁnd,support,for,antidepressant}
journal.pone.0035511.pdf	RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0035511.pdf_684_684_4_4_22_22	SS/HP:0100753|Schizophrenia	{4}	{22}	{Behrens,NIIVI,",",Ali,SS,",",Dugan,LL,(,2008,),Interleukin-6,mediates,the,increase,in,NADPH-oxidase,in,the,ketamine,model,of,schizophrenia,.}
journal.pone.0035511.pdf	RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0035511.pdf_684_684_4_4_22_22_UNSUP	SS/HP:0100753|Schizophrenia	{4}	{22}	{Behrens,NIIVI,",",Ali,SS,",",Dugan,LL,(,2008,),Interleukin-6,mediates,the,increase,in,NADPH-oxidase,in,the,ketamine,model,of,schizophrenia,.}
journal.pone.0035511.pdf	RELATION_GENEHPOTERM_journal.pone.0035511.pdf_44_44_7_7_33_33	BAX/HP:0100753|Schizophrenia	{7}	{33}	{Furthermore,",",an,increased,ratio,of,pro-apoptotic,BAX,to,antiapoptotic,BCL-2,protein,in,the,dorsolateral,prefrontal,cortex,(,DLPFC,),from,patients,compared,with,controls,suggests,a,bias,favoring,cell,death,processes,in,schizophrenia,[,5,],.}
journal.pone.0035511.pdf	RELATION_GENEHPOTERM_journal.pone.0035511.pdf_66_66_40_42_18_18	histone_deacetylase_1/HP:0100753|Schizophrenia	{40,41,42}	{18}	{While,the,data,to,support,altered,rates,of,cell,death,of,interneuron,subtypes,in,cortex,from,patients,with,schizophrenia,are,lacking,[,44,],",",a,study,of,gene,expression,in,hippocampal,interneurons,has,implicated,the,apoptosis-related,cell,cycle,regulator,histone,deacetylase,1,in,this,disease,[,"45,46",],.}
journal.pone.0035511.pdf	RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0035511.pdf_89_89_13_13_24_24	S1/HP:0100753|Schizophrenia	{13}	{24}	{"\\\\",/,Vithin,these,death,receptor,signaling,pathways,",",6,molecules,(,Table,S1,),had,altered,expression,in,the,DLPFC,of,patients,with,schizophrenia,.}
journal.pone.0035511.pdf	RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0035511.pdf_89_89_13_13_24_24_UNSUP	S1/HP:0100753|Schizophrenia	{13}	{24}	{"\\\\",/,Vithin,these,death,receptor,signaling,pathways,",",6,molecules,(,Table,S1,),had,altered,expression,in,the,DLPFC,of,patients,with,schizophrenia,.}
journal.pone.0035511.pdf	RELATION_GENEHPOTERM_journal.pone.0035511.pdf_102_102_6_6_17_17	TNFSF13/HP:0100753|Schizophrenia	{6}	{17}	{We,found,that,the,expression,of,TNFSF13,mRNA,in,the,DLPFC,was,signiﬁcantly,increased,in,patients,with,schizophrenia,in,both,the,SMRI,(,Figure,S1,",",panel,A,",",U,=,442.00,",",p,=,0.048,onetailed,),and,the,NSW,TRC,(,Figure,S1,",",panel,B,",",U,=,463.00,",",p,=,0.0125,one-tailed,),collections,.}
journal.pone.0035511.pdf	RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0035511.pdf_102_102_24_24_17_17	S1/HP:0100753|Schizophrenia	{24}	{17}	{We,found,that,the,expression,of,TNFSF13,mRNA,in,the,DLPFC,was,signiﬁcantly,increased,in,patients,with,schizophrenia,in,both,the,SMRI,(,Figure,S1,",",panel,A,",",U,=,442.00,",",p,=,0.048,onetailed,),and,the,NSW,TRC,(,Figure,S1,",",panel,B,",",U,=,463.00,",",p,=,0.0125,one-tailed,),collections,.}
journal.pone.0035511.pdf	RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0035511.pdf_102_102_24_24_17_17_UNSUP	S1/HP:0100753|Schizophrenia	{24}	{17}	{We,found,that,the,expression,of,TNFSF13,mRNA,in,the,DLPFC,was,signiﬁcantly,increased,in,patients,with,schizophrenia,in,both,the,SMRI,(,Figure,S1,",",panel,A,",",U,=,442.00,",",p,=,0.048,onetailed,),and,the,NSW,TRC,(,Figure,S1,",",panel,B,",",U,=,463.00,",",p,=,0.0125,one-tailed,),collections,.}
journal.pone.0035511.pdf	RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0035511.pdf_102_102_44_44_17_17	S1/HP:0100753|Schizophrenia	{44}	{17}	{We,found,that,the,expression,of,TNFSF13,mRNA,in,the,DLPFC,was,signiﬁcantly,increased,in,patients,with,schizophrenia,in,both,the,SMRI,(,Figure,S1,",",panel,A,",",U,=,442.00,",",p,=,0.048,onetailed,),and,the,NSW,TRC,(,Figure,S1,",",panel,B,",",U,=,463.00,",",p,=,0.0125,one-tailed,),collections,.}
journal.pone.0035511.pdf	RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0035511.pdf_102_102_44_44_17_17_UNSUP	S1/HP:0100753|Schizophrenia	{44}	{17}	{We,found,that,the,expression,of,TNFSF13,mRNA,in,the,DLPFC,was,signiﬁcantly,increased,in,patients,with,schizophrenia,in,both,the,SMRI,(,Figure,S1,",",panel,A,",",U,=,442.00,",",p,=,0.048,onetailed,),and,the,NSW,TRC,(,Figure,S1,",",panel,B,",",U,=,463.00,",",p,=,0.0125,one-tailed,),collections,.}
journal.pone.0035511.pdf	RELATION_GENEHPOTERM_journal.pone.0035511.pdf_103_103_4_4_14_14	TNFSF13/HP:0100753|Schizophrenia	{4}	{14}	{In,the,combined,collections,TNFSF13,mRNA,was,increased,by,27,%,in,patients,with,schizophrenia,relative,to,unaffected,controls,(,Figure,2A,:,U,=,1824.00,",",p,=,0.003,one-tailed,",",effect,size,r,=,0.23,),.}
journal.pone.0035511.pdf	RELATION_GENEHPOTERM_journal.pone.0035511.pdf_104_104_12_12_7_7	TNFSF13/HP:0100753|Schizophrenia	{12}	{7}	{While,individuals,in,both,the,control,and,schizophrenia,group,could,express,elevated,TNFSF13,mRNA,",",in,the,combined,collection,we,noted,that,more,patients,with,schizophrenia,fell,into,the,high,expression,range,as,illustrated,by,frequency,distribution,plots,(,see,red,arrows,in,Figure,2B,),.}
journal.pone.0035511.pdf	RELATION_GENEHPOTERM_journal.pone.0035511.pdf_104_104_12_12_25_25	TNFSF13/HP:0100753|Schizophrenia	{12}	{25}	{While,individuals,in,both,the,control,and,schizophrenia,group,could,express,elevated,TNFSF13,mRNA,",",in,the,combined,collection,we,noted,that,more,patients,with,schizophrenia,fell,into,the,high,expression,range,as,illustrated,by,frequency,distribution,plots,(,see,red,arrows,in,Figure,2B,),.}
journal.pone.0035511.pdf	RELATION_GENEHPOTERM_journal.pone.0035511.pdf_133_133_4_4_14_14	FAS/HP:0100753|Schizophrenia	{4}	{14}	{The,group-wise,expression,of,FAS,receptor,was,not,statistically,signiﬁcantly,increased,in,patients,with,schizophrenia,in,the,SMRI,collection,(,Figure,S1,",",panel,C,",",U,=,501.00,",",p,=,0.174,one-tailed,),or,the,NSW,TRC,collection,(,Figure,S1,",",panel,D,",",U,=,554.00,",",p,=,0.145,one-tailed,),",",or,within,the,combined,DLPFC,collections,(,Figure,2C,",",U,=,2105.00,",",p,=,0.08,one-tailed,",",effect,size,r,=,0.12,),.}
journal.pone.0035511.pdf	RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0035511.pdf_133_133_21_21_14_14	S1/HP:0100753|Schizophrenia	{21}	{14}	{The,group-wise,expression,of,FAS,receptor,was,not,statistically,signiﬁcantly,increased,in,patients,with,schizophrenia,in,the,SMRI,collection,(,Figure,S1,",",panel,C,",",U,=,501.00,",",p,=,0.174,one-tailed,),or,the,NSW,TRC,collection,(,Figure,S1,",",panel,D,",",U,=,554.00,",",p,=,0.145,one-tailed,),",",or,within,the,combined,DLPFC,collections,(,Figure,2C,",",U,=,2105.00,",",p,=,0.08,one-tailed,",",effect,size,r,=,0.12,),.}
journal.pone.0035511.pdf	RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0035511.pdf_133_133_21_21_14_14_UNSUP	S1/HP:0100753|Schizophrenia	{21}	{14}	{The,group-wise,expression,of,FAS,receptor,was,not,statistically,signiﬁcantly,increased,in,patients,with,schizophrenia,in,the,SMRI,collection,(,Figure,S1,",",panel,C,",",U,=,501.00,",",p,=,0.174,one-tailed,),or,the,NSW,TRC,collection,(,Figure,S1,",",panel,D,",",U,=,554.00,",",p,=,0.145,one-tailed,),",",or,within,the,combined,DLPFC,collections,(,Figure,2C,",",U,=,2105.00,",",p,=,0.08,one-tailed,",",effect,size,r,=,0.12,),.}
journal.pone.0035511.pdf	RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0035511.pdf_133_133_42_42_14_14	S1/HP:0100753|Schizophrenia	{42}	{14}	{The,group-wise,expression,of,FAS,receptor,was,not,statistically,signiﬁcantly,increased,in,patients,with,schizophrenia,in,the,SMRI,collection,(,Figure,S1,",",panel,C,",",U,=,501.00,",",p,=,0.174,one-tailed,),or,the,NSW,TRC,collection,(,Figure,S1,",",panel,D,",",U,=,554.00,",",p,=,0.145,one-tailed,),",",or,within,the,combined,DLPFC,collections,(,Figure,2C,",",U,=,2105.00,",",p,=,0.08,one-tailed,",",effect,size,r,=,0.12,),.}
journal.pone.0035511.pdf	RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0035511.pdf_133_133_42_42_14_14_UNSUP	S1/HP:0100753|Schizophrenia	{42}	{14}	{The,group-wise,expression,of,FAS,receptor,was,not,statistically,signiﬁcantly,increased,in,patients,with,schizophrenia,in,the,SMRI,collection,(,Figure,S1,",",panel,C,",",U,=,501.00,",",p,=,0.174,one-tailed,),or,the,NSW,TRC,collection,(,Figure,S1,",",panel,D,",",U,=,554.00,",",p,=,0.145,one-tailed,),",",or,within,the,combined,DLPFC,collections,(,Figure,2C,",",U,=,2105.00,",",p,=,0.08,one-tailed,",",effect,size,r,=,0.12,),.}
journal.pone.0035511.pdf	RELATION_GENEHPOTERM_journal.pone.0035511.pdf_140_140_11_11_2_2	FAS/HP:0100753|Schizophrenia	{11}	{2}	{Patients,with,schizophrenia,were,2.61,times,more,likely,to,have,high,FAS,receptor,expression,than,unaffected,controls,.}
journal.pone.0035511.pdf	RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0035511.pdf_142_142_20_20_9_9	S1/HP:0100753|Schizophrenia	{20}	{9}	{CFLARIW,",",expression,was,not,signiﬁcantly,changed,within,the,schizophrenia,group,in,the,SMRI,or,NSW,TRC,collections,(,Figure,S1,",",panels,E,.}
journal.pone.0035511.pdf	RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0035511.pdf_142_142_20_20_9_9_UNSUP	S1/HP:0100753|Schizophrenia	{20}	{9}	{CFLARIW,",",expression,was,not,signiﬁcantly,changed,within,the,schizophrenia,group,in,the,SMRI,or,NSW,TRC,collections,(,Figure,S1,",",panels,E,.}
