abnormality|body|height	HP:0000002
prominent|nasal|bridge	HP:0000426
abnormality|nasal|alae	HP:0000429
underdeveloped|nasal|alae	HP:0000430
wide|nasal|bridge	HP:0000431
abnormality|nasal|mucosa	HP:0000433
nasal|mucosa|telangiectasia	HP:0000434
abnormality|nasal|tip	HP:0000436
depressed|nasal|tip	HP:0000437
convex|nasal|ridge	HP:0000444
wide|nose	HP:0000445
narrow|nasal|bridge	HP:0000446
pear-shaped|nose	HP:0000447
prominent|nose	HP:0000448
triangular|nasal|tip	HP:0000451
choanal|stenosis	HP:0000452
choanal|atresia	HP:0000453
flared|nostrils	HP:0000454
broad|nasal|tip	HP:0000455
bifid|nasal|tip	HP:0000456
depressed|nasal|ridge	HP:0000457
anosmia	HP:0000458
narrow|nose	HP:0000460
anteverted|nares	HP:0000463
abnormality|neck	HP:0000464
webbed|neck	HP:0000465
limited|neck|range|motion	HP:0000466
neck|muscle|weakness	HP:0000467
increased|adipose|tissue|neck	HP:0000468
short|neck	HP:0000470
gastrointestinal|angiodysplasia	HP:0000471
long|neck	HP:0000472
torticollis	HP:0000473
thickened|nuchal|skin|fold	HP:0000474
broad|neck	HP:0000475
cystic|hygroma	HP:0000476
abnormality|eye	HP:0000478
abnormality|retina	HP:0000479
retinal|coloboma	HP:0000480
abnormality|cornea	HP:0000481
microcornea	HP:0000482
astigmatism	HP:0000483
hyperopic|astigmatism	HP:0000484
megalocornea	HP:0000485
strabismus	HP:0000486
congenital|strabismus	HP:0000487
retinopathy	HP:0000488
deeply|set|eye	HP:0000490
keratitis	HP:0000491
abnormality|eyelid	HP:0000492
abnormality|fovea	HP:0000493
downslanted|palpebral|fissures	HP:0000494
recurrent|corneal|erosions	HP:0000495
abnormality|eye|movement	HP:0000496
globe|retraction|deviation|abduction	HP:0000497
blepharitis	HP:0000498
abnormality|eyelashes	HP:0000499
glaucoma	HP:0000501
abnormality|conjunctiva	HP:0000502
tortuosity|conjunctival|vessels	HP:0000503
abnormality|vision	HP:0000504
visual|impairment	HP:0000505
telecanthus	HP:0000506
ptosis	HP:0000508
conjunctivitis	HP:0000509
retinitis|pigmentosa	HP:0000510
vertical|supranuclear|gaze|palsy	HP:0000511
abnormal|electroretinogram	HP:0000512
slow|saccadic|eye|movements	HP:0000514
abnormality|lens	HP:0000517
cataract	HP:0000518
congenital|cataract	HP:0000519
proptosis	HP:0000520
alacrima	HP:0000522
subcapsular|cataract	HP:0000523
conjunctival|telangiectasia	HP:0000524
abnormality|iris	HP:0000525
aniridia	HP:0000526
long|eyelashes	HP:0000527
anophthalmia	HP:0000528
progressive|visual|loss	HP:0000529
corneal|crystals	HP:0000531
chorioretinal|abnormality	HP:0000532
chorioretinal|atrophy	HP:0000533
abnormality|eyebrow	HP:0000534
sparse|eyebrow	HP:0000535
epicanthus|inversus	HP:0000537
pseudopapilledema	HP:0000538
abnormality|refraction	HP:0000539
hypermetropia	HP:0000540
retinal|detachment	HP:0000541
impaired|ocular|adduction	HP:0000542
optic|disc|pallor	HP:0000543
external|ophthalmoplegia	HP:0000544
myopia	HP:0000545
retinal|degeneration	HP:0000546
tapetoretinal|degeneration	HP:0000547
cone-rod|dystrophy	HP:0000548
abnormal|conjugate|eye|movement	HP:0000549
abolished|electroretinogram|(erg)	HP:0000550
abnormality|color|vision	HP:0000551
tritanomaly	HP:0000552
abnormality|uvea	HP:0000553
uveitis	HP:0000554
leukocoria	HP:0000555
retinal|dystrophy	HP:0000556
buphthalmos	HP:0000557
rieger|anomaly	HP:0000558
corneal|scarring	HP:0000559
absent|eyelashes	HP:0000561
keratoconus	HP:0000563
lacrimal|duct|atresia	HP:0000564
esotropia	HP:0000565
chorioretinal|coloboma	HP:0000567
microphthalmos	HP:0000568
abnormality|saccadic|eye|movements	HP:0000570
hypometric|saccades	HP:0000571
visual|loss	HP:0000572
retinal|hemorrhage	HP:0000573
thick|eyebrow	HP:0000574
scotoma	HP:0000575
centrocecal|scotoma	HP:0000576
exotropia	HP:0000577
nasolacrimal|duct|obstruction	HP:0000579
pigmentary|retinopathy	HP:0000580
blepharophimosis	HP:0000581
upslanted|palpebral|fissure	HP:0000582
punctate|corneal|epithelial|erosions	HP:0000584
band|keratopathy	HP:0000585
shallow|orbits	HP:0000586
abnormality|optic|nerve	HP:0000587
optic|nerve|coloboma	HP:0000588
coloboma	HP:0000589
progressive|external|ophthalmoplegia	HP:0000590
abnormality|sclera	HP:0000591
blue|sclerae	HP:0000592
abnormality|anterior|chamber	HP:0000593
shallow|anterior|chamber	HP:0000594
ophthalmoparesis	HP:0000597
abnormality|ear	HP:0000598
abnormality|frontal|hairline	HP:0000599
abnormality|pharynx	HP:0000600
hypotelorism	HP:0000601
ophthalmoplegia	HP:0000602
central|scotoma	HP:0000603
supranuclear|gaze|palsy	HP:0000605
abnormality|periorbital|region	HP:0000606
periorbital|wrinkles	HP:0000607
macular|degeneration	HP:0000608
optic|nerve|hypoplasia	HP:0000609
abnormality|choroid	HP:0000610
choroid|coloboma	HP:0000611
iris|coloboma	HP:0000612
photophobia	HP:0000613
abnormality|nasolacrimal|system	HP:0000614
abnormality|pupil	HP:0000615
miosis	HP:0000616
abnormality|ocular|smooth|pursuit	HP:0000617
blindness	HP:0000618
impaired|convergence	HP:0000619
dacrocystitis	HP:0000620
entropion	HP:0000621
blurred|vision	HP:0000622
supranuclear|ophthalmoplegia	HP:0000623
cleft|eyelid	HP:0000625
posterior|embryotoxon	HP:0000627
periorbital|fullness	HP:0000629
abnormality|retinal|arteries	HP:0000630
retinal|arterial|tortuosity	HP:0000631
lacrimation|abnormality	HP:0000632
decreased|lacrimation	HP:0000633
impaired|ocular|abduction	HP:0000634
blue|irides	HP:0000635
upper|eyelid|coloboma	HP:0000636
long|palpebral|fissure	HP:0000637
nystagmus	HP:0000639
gaze-evoked|nystagmus	HP:0000640
dysmetric|saccades	HP:0000641
red-green|dyschromatopsia	HP:0000642
blepharospasm	HP:0000643
amblyopia	HP:0000646
sclerocornea	HP:0000647
optic|atrophy	HP:0000648
abnormality|vision|evoked|potentials	HP:0000649
reduced|amplitude|pattern|visual|evoked|potentials	HP:0000650
diplopia	HP:0000651
lower|eyelid|coloboma	HP:0000652
sparse|eyelashes	HP:0000653
decreased|electroretinogram|(erg)|amplitude	HP:0000654
vitreoretinal|degeneration	HP:0000655
ectropion	HP:0000656
oculomotor|apraxia	HP:0000657
eyelid|apraxia	HP:0000658
peters|anomaly	HP:0000659
lipemia|retinalis	HP:0000660
palpebral|fissure|narrowing|adduction	HP:0000661
night|blindness	HP:0000662
synophrys	HP:0000664
horizontal|nystagmus	HP:0000666
phthisis|bulbi	HP:0000667
hypodontia	HP:0000668
carious|teeth	HP:0000670
anodontia	HP:0000674
macrodontia|permanent|maxillary|central|incisor	HP:0000675
abnormality|incisor	HP:0000676
oligodontia	HP:0000677
dental|crowding	HP:0000678
taurodontia	HP:0000679
delayed|eruption|primary|teeth	HP:0000680
abnormality|dental|enamel	HP:0000682
grayish|enamel	HP:0000683
delayed|eruption|teeth	HP:0000684
hypoplasia|teeth	HP:0000685
widely|spaced|teeth	HP:0000687
dental|malocclusion	HP:0000689
agenesis|maxillary|lateral|incisor	HP:0000690
microdontia	HP:0000691
misalignment|teeth	HP:0000692
shell|teeth	HP:0000694
natal|tooth	HP:0000695
delayed|eruption|permanent|teeth	HP:0000696
conical|tooth	HP:0000698
diastema	HP:0000699
periapical|radiolucency	HP:0000700
dentinogenesis|imperfecta	HP:0000703
periodontitis	HP:0000704
amelogenesis|imperfecta	HP:0000705
unerupted|tooth	HP:0000706
abnormality|nervous|system	HP:0000707
behavioral|abnormality	HP:0000708
psychosis	HP:0000709
hyperorality	HP:0000710
restlessness	HP:0000711
emotional|lability	HP:0000712
agitation	HP:0000713
depression	HP:0000716
autism	HP:0000717
aggressive|behavior	HP:0000718
inappropriate|behavior	HP:0000719
mood|swings	HP:0000720
lack|spontaneous|play	HP:0000721
obsessive-compulsive|behavior	HP:0000722
restrictive|behavior	HP:0000723
psychotic|episodes	HP:0000725
dementia	HP:0000726
frontal|lobe|dementia	HP:0000727
impaired|ability|form|peer|relationships	HP:0000728
autistic|behavior	HP:0000729
inflexible|adherence|routines|rituals	HP:0000732
stereotypic|behavior	HP:0000733
disinhibition	HP:0000734
impaired|social|interactions	HP:0000735
short|attention|span	HP:0000736
irritability	HP:0000737
hallucinations	HP:0000738
anxiety	HP:0000739
anxiety|(with|pheochromocytoma)	HP:0000740
apathy	HP:0000741
self-mutilation	HP:0000742
frontal|release|signs	HP:0000743
low|frustration|tolerance	HP:0000744
diminished|motivation	HP:0000745
delusions	HP:0000746
inappropriate|laughter	HP:0000748
paroxysmal|bursts|laughter	HP:0000749
delayed|speech|language|development	HP:0000750
personality|changes	HP:0000751
hyperactivity	HP:0000752
autism|high|cognitive|abilities	HP:0000753
agoraphobia	HP:0000756
lack|insight	HP:0000757
impaired|nonverbal|behaviors	HP:0000758
abnormality|peripheral|nervous|system	HP:0000759
decreased|nerve|conduction|velocity	HP:0000762
sensory|neuropathy	HP:0000763
peripheral|axonal|degeneration	HP:0000764
abnormality|thorax	HP:0000765
abnormality|sternum	HP:0000766
pectus|excavatum	HP:0000767
pectus|carinatum	HP:0000768
abnormality|breast	HP:0000769
gynecomastia	HP:0000771
abnormality|ribs	HP:0000772
short|ribs	HP:0000773
narrow|chest	HP:0000774
abnormality|diaphragm	HP:0000775
congenital|diaphragmatic|hernia	HP:0000776
abnormality|thymus	HP:0000777
hypoplasia|thymus	HP:0000778
abnormality|scapula	HP:0000782
primary|amenorrhea	HP:0000786
nephrolithiasis	HP:0000787
infertility	HP:0000789
hematuria	HP:0000790
uric|acid|nephrolithiasis	HP:0000791
membranoproliferative|glomerulonephritis	HP:0000793
iga|deposition|glomerulus	HP:0000794
abnormality|urethra	HP:0000795
urethral|obstruction	HP:0000796
oligospermia	HP:0000798
renal|steatosis	HP:0000799
cystic|renal|dysplasia	HP:0000800
impotence	HP:0000802
renal|cortical|cysts	HP:0000803
xanthine|nephrolithiasis	HP:0000804
enuresis	HP:0000805
glandular|hypospadias	HP:0000807
penoscrotal|hypospadias	HP:0000808
urinary|tract|atresia	HP:0000809
abnormal|external|genitalia	HP:0000811
abnormal|internal|genitalia	HP:0000812
bicornuate|uterus	HP:0000813
hypergonadotropic|hypogonadism	HP:0000815
abnormality|krebs|cycle|metabolism	HP:0000816
poor|eye|contact	HP:0000817
abnormality|endocrine|system	HP:0000818
diabetes|mellitus	HP:0000819
abnormality|thyroid|gland	HP:0000820
hypothyroidism	HP:0000821
hypertension	HP:0000822
delayed|puberty	HP:0000823
growth|hormone|deficiency	HP:0000824
hyperinsulinemic|hypoglycemia	HP:0000825
precocious|puberty	HP:0000826
abnormality|parathyroid|gland	HP:0000828
hypoparathyroidism	HP:0000829
anterior|hypopituitarism	HP:0000830
insulin-resistant|diabetes|mellitus	HP:0000831
primary|hypothyroidism	HP:0000832
glucose|intolerance	HP:0000833
abnormality|adrenal|glands	HP:0000834
adrenal|hypoplasia	HP:0000835
hyperthyroidism	HP:0000836
gonadotropin|excess	HP:0000837
pituitary|dwarfism	HP:0000839
adrenogenital|syndrome	HP:0000840
hyperactive|renin-angiotensin|system	HP:0000841
hyperinsulinemia	HP:0000842
hyperparathyroidism	HP:0000843
growth|hormone|excess	HP:0000845
adrenal|insufficiency	HP:0000846
abnormality|renin-angiotensin|system	HP:0000847
increased|circulating|renin|level	HP:0000848
adrenocortical|abnormality	HP:0000849
congenital|hypothyroidism	HP:0000851
pseudohypoparathyroidism	HP:0000852
goiter	HP:0000853
thyroid|adenoma	HP:0000854
insulin|resistance	HP:0000855
neonatal|insulin-dependent|diabetes|mellitus	HP:0000857
menstrual|irregularities	HP:0000858
hyperaldosteronism	HP:0000859
parathyroid|hypoplasia	HP:0000860
central|diabetes|insipidus	HP:0000863
abnormality|hypothalamus-pituitary|axis	HP:0000864
euthyroid|multinodular|goiter	HP:0000866
secondary|hyperparathyroidism	HP:0000867
decreased|fertility|females	HP:0000868
secondary|amenorrhea	HP:0000869
prolactin|excess	HP:0000870
panhypopituitarism	HP:0000871
hashimoto|thyroiditis	HP:0000872
diabetes|insipidus	HP:0000873
episodic|hypertension	HP:0000875
oligomenorrhea	HP:0000876
insulin-resistant|diabetes|mellitus|puberty	HP:0000877
11|pairs|ribs	HP:0000878
short|sternum	HP:0000879
hypoplastic|scapulae	HP:0000882
thin|ribs	HP:0000883
prominent|sternum	HP:0000884
broad|ribs	HP:0000885
deformed|rib|cage	HP:0000886
cupped|ribs	HP:0000887
horizontal|ribs	HP:0000888
abnormality|clavicles	HP:0000889
long|clavicles	HP:0000890
cervical|ribs	HP:0000891
bifid|ribs	HP:0000892
bulging|costochondral|junction	HP:0000893
short|clavicles	HP:0000894
hooked|clavicles	HP:0000895
rib|exostoses	HP:0000896
rachitic|rosary	HP:0000897
thickened|ribs	HP:0000900
rib|fusion	HP:0000902
flaring|rib|cage	HP:0000904
progressive|clavicular|acroosteolysis	HP:0000905
anterior|rib|cupping	HP:0000907
wide-cupped|costochondral|junctions	HP:0000910
flat|glenoid|fossa	HP:0000911
sprengel|anomaly	HP:0000912
posterior|rib|fusion	HP:0000913
shield|chest	HP:0000914
pectus|excavatum|inferior|sternum	HP:0000915
broad|clavicles	HP:0000916
superior|pectus|carinatum	HP:0000917
scapular|exostoses	HP:0000918
abnormality|costochondral|junction	HP:0000919
enlargement|costochondral|junction	HP:0000920
missing|ribs	HP:0000921
posterior|rib|cupping	HP:0000922
beaded|ribs	HP:0000923
abnormality|skeletal|system	HP:0000924
abnormality|vertebral|column	HP:0000925
platyspondyly	HP:0000926
abnormality|skeletal|maturation	HP:0000927
abnormality|skull	HP:0000929
elevated|imprint|transverse|sinuses	HP:0000930
thinning|bulging|posterior|fossa|bones	HP:0000931
abnormality|posterior|cranial|fossa	HP:0000932
posterior|fossa|cyst|fourth|ventricle	HP:0000933
chondrocalcinosis	HP:0000934
thickened|cortex|long|bones	HP:0000935
osteopenia	HP:0000938
osteoporosis	HP:0000939
abnormal|diaphysis|morphology	HP:0000940
short|diaphyses	HP:0000941
dysostosis|multiplex	HP:0000943
abnormality|metaphyses	HP:0000944
flared|irregular|metaphyses	HP:0000945
hypoplastic|ilia	HP:0000946
dumbbell-shaped|long|bone	HP:0000947
abnormality|skin	HP:0000951
jaundice	HP:0000952
hyperpigmentation|skin	HP:0000953
single|transverse|palmar|crease	HP:0000954
acanthosis|nigricans	HP:0000956
cafe-au-lait|spot	HP:0000957
dry|skin	HP:0000958
sacral|dimple	HP:0000960
cyanosis	HP:0000961
hyperkeratosis	HP:0000962
thin|skin	HP:0000963
eczema	HP:0000964
cutis|marmorata	HP:0000965
hypohidrosis	HP:0000966
petechiae	HP:0000967
ectodermal|dysplasia	HP:0000968
edema	HP:0000969
anhidrosis	HP:0000970
abnormality|sweat|gland	HP:0000971
palmoplantar|hyperkeratosis	HP:0000972
cutis|laxa	HP:0000973
hyperextensible|skin	HP:0000974
hyperhidrosis	HP:0000975
eczematoid|dermatitis	HP:0000976
soft|skin	HP:0000977
bruising|susceptibility	HP:0000978
purpura	HP:0000979
pallor	HP:0000980
palmoplantar|keratoderma	HP:0000982
atypical|scarring|skin	HP:0000987
skin|rash	HP:0000988
pruritus	HP:0000989
xanthomatosis	HP:0000991
cutaneous|photosensitivity	HP:0000992
molluscoid|pseudotumors	HP:0000993
melanocytic|nevus	HP:0000995
facial|capillary|hemangioma	HP:0000996
axillary|freckling	HP:0000997
hypertrichosis	HP:0000998
pyoderma	HP:0000999
abnormality|skin|pigmentation	HP:0001000
abnormality|subcutaneous|fat|tissue	HP:0001001
decreased|subcutaneous|fat	HP:0001002
multiple|lentigines	HP:0001003
lymphedema	HP:0001004
dermatological|manifestations|systemic|disorders	HP:0001005
hypotrichosis	HP:0001006
hirsutism	HP:0001007
accumulation|melanosomes|melanocytes	HP:0001008
telangiectasia	HP:0001009
hypopigmentation|skin	HP:0001010
diaphoresis|(with|pheochromocytoma)	HP:0001011
multiple|lipomas	HP:0001012
eruptive|xanthomas	HP:0001013
angiokeratoma	HP:0001014
prominent|superficial|veins	HP:0001015
anemic|pallor	HP:0001017
abnormal|palmar|dermatoglyphics	HP:0001018
erythroderma	HP:0001019
albinism	HP:0001022
skin|dimple|apex|long|bone|angulation	HP:0001024
urticaria	HP:0001025
penetrating|foot|ulcers	HP:0001026
soft|doughy|skin	HP:0001027
hemangioma	HP:0001028
poikiloderma	HP:0001029
fragile|skin	HP:0001030
subcutaneous|lipoma	HP:0001031
absent|distal|interphalangeal|creases	HP:0001032
facial|flushing|alcohol|intake	HP:0001033
hypermelanotic|macule	HP:0001034
parakeratosis	HP:0001036
warfarin-induced|skin|necrosis	HP:0001038
atheroeruptive|xanthoma	HP:0001039
multiple|pterygia	HP:0001040
facial|erythema	HP:0001041
high|axial|triradius	HP:0001042
prominent|scalp|veins	HP:0001043
vitiligo	HP:0001045
intermittent|jaundice	HP:0001046
