relation_id	relation_name	gene_words	hpoterm_words	words	sentences_before	sentences_after	expectation
RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0054132.pdf_627_627_7_7_22_23_UNSUP	FBN1/HP:0001724|Aortic dilatation	{7}	{22,23}	{These,genes,may,be,hereditary,determinants,like,FBN1,in,Marfan,syndrome,[,1,],",",or,be,involved,in,the,pathogenesis,of,aortic,dilatation,in,the,context,of,congenital,aortic,valve,malformations,[,2,],.}	{Discussion,"Previous studies have shown that aortic dilatation involves changes of gene activities ."}	{"Aortic aneurysms in conjunction with bicuspid aortic Valve anatomy are particularly important , because this entity is even more frequent than aortic dilatation in Marfan syndrome or in other hereditary connective tissue disorders [ 18 ] .","In addition , hypertension has been found to be the most common underlying disease associated with the formation of aortic aneurysms including the ascending aorta [ 19 ] ."}	0.838
RELATION_GENEHPOTERM_journal.pone.0065490.pdf_65_65_16_16_3_3	insulin/HP:0001943|Hypoglycemia	{16}	{3}	{L.,To,prevent,hypoglycemia,due,to,an,excess,amount,of,insulin,",",we,implanted,a,half,insulin,implant,",",which,released,about,I,unit,/,24,hr,.}	{"After a decrease in bodyweight , glucose was measured in tailvein blood using a glucose-sensor ( Accu-Check Sensor Comfort , Roche Diagnostics Nederland B.V. , Almere , The Netherlands ) ) .","After establishing diabetes in BBDP-rats ( blood glucose > 15 mmol / L ) , rats received a half insulin implant ( Linplantsustained-release-insulin-implant ; LinShin Canada Inc , Toronto , Canada ) subcutaneously , to maintain blood glucose < 5.5 mmol /"}	{"In our experience half an insulin implant will keep the BBDP-rats normoglycemic for 3 — 4 weeks .","These insulin treated non-pregnant diabetic rats were weighed 3 times a week and blood glucose was measured at least once every 3 weeks as well as in case of weight loss ."}	0.46
RELATION_GENEHPOTERM_journal.pone.0059369.pdf_352_352_24_24_32_33	BCL11B/HP:0012254|Ewing's sarcoma	{24}	{32,33}	{The,differing,function,of,BCL1,1B,in,Ewing,sarcoma,does,not,appear,to,be,due,to,a,unique,transcriptional,activity,in,this,tumor,:,BCL11B,acts,mainly,as,a,transcriptional,repressor,in,Ewing,sarcoma,",",and,thus,acts,similarly,to,what,has,been,demonstrated,in,other,cellular,contexts,.}	{"This group also found that ectopic expression of Bell lb in HeLa cells suppressed cell growth [ 27 ] .","BCL11B has not been widely studied in the context of solid malignancies and is not expressed in many [ 50 ] ."}	{"However , BCL11B regulates a unique set of genes in the A673 cellular background in comparison to other cell types in which it has been studied .","For example , BCL11B has been implicated in cell cycle progression by directly repressing the cell cycle inhibitors p21WAFl [ 43 ] and p5 7KIP2 [ 41 ] in microglial cells and SK-N-MC ( which were originally characterized as a neuroblastoma cell line , but are in fact a Ewing cell line ) cells , respectively ."}	0.476
RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0024659.pdf_820_820_21_22_25_26_UNSUP	androgen_receptor/HP:0012125|Prostate cancer	{21,22}	{25,26}	{Culig,Z,",",Comuzzi,B,",",Steiner,H,",",Bartsch,G,",",Hobisch,A,(,2004,),Expression,and,function,of,androgen,receptor,coactivators,in,prostate,cancer,.}	{"Chmelar R , Buchanan G , Need EF , Tilley VV , Greenberg Nl \\\\ ’ I ( 2007 ) Androgen receptor coregulators and their involvement in the development and progression of prostate cancer .","IntJ Cancer 120 : 7194733 ."}	{"J Steroid Biochem Mol Biol 92 : 2654271 .","Norris JD , Chang CY , VVittmann BN1 , Kunder RS , Cui H , et al. ( 2009 ) The Homeodomain Protein HOXBI3 Regulates the Cellular Response to Andro ~ gens ."}	0.59
RELATION_GENEHPOTERM_SUP_F_H_journal.pone.0069095.pdf_19_19_31_31_24_24_UNSUP	SMCP/c	{31}	{24}	{Taken,together,",",the,initiation,results,indicate,that,an,ectopically,expressed,variant,form,of,SMCP,has,a,role,in,tumor,initiation,of,CSCs/C,|,Cs,and,that,the,variant,form,of,SMCP,might,be,a,novel,CSC/CIC,marker,and,a,potential,and,promising,target,of,CSC/CIC-targeting,therapy,.}	{"SMCP vt2 was detected in only cancer cells , whereas the wild-type ( vt1 ) form of SMCP was expressed in the testis .","SMCP was shown to have a role in tumor initiation by SMCP overexpression and SMCP knockdown using siRNAs in lung cancer cells ."}	{"Citation : Takahashi A , Hirohashi Y , Torigoe T , Tamura Y , Tsukahara T , et al. ( 2013 ) Ectopically Expressed Variant Form of Sperm Mitochondria-Associated CysteineRich Protein Augments Tumorigenicity of the Stem Cell Population of Lung Adenocarcinoma Cells .","PLoS ONE 8 ( 11 ) : e69095 ."}	0.214
RELATION_GENEHPOTERM_journal.pone.0103071.pdf_521_521_31_31_36_37	CD36/HP:0000855|Insulin resistance	{31}	{36,37}	{"\\\\",1iqui1ena,~,Colina,NIE,",",Lima-Cabello,E,",",Sanchez,~,Campos,S,",",Garcia,~,N1ediavi11a,MV,",",Fernandez-Bermejo,M,",",et,al.,(,2011,),Hepatic,fatty,acid,translocase,CD36,upregulation,is,associated,with,insulin,resistance,",",hyperinsulinaemia,and,increased,steatosis,in,non-alcoholic,steatohepatitis,and,chronic,hepatitis,C.,Gut,60,:,139441402,.}	{"Diabetes 56 : 286342871 .",.}	{"Zhou F , Pan Y , Huang Z , Jia Y , Zhao X , et a1 .","( 2013 ) Visfatin induces cholesterol accumulation in macrophages through up-regulation of scavenger receptor-A and CD36 ."}	0.292
RELATION_GENEHPOTERM_journal.pone.0053119.pdf_495_495_23_23_29_30	CD24/HP:0003002|Breast carcinoma	{23}	{29,30}	{Fogel,l,"\\\\",’,I,",",Friederichs,J,",",Zeller,Y,",",Husar,NI,",",Smirnov,A,",",et,al.,(,1999,),CD24,is,a,marker,for,human,breast,carcinoma,.}	{"Bircan S , Kapucuoglu N , Baspinar S , Inan G , Candir O ( 2006 ) CD24 expression in ductal carcinoma in situ and invasive ductal carcinoma of breast : an immunohistochemistry ~ based pilot study .","Pathol Res Pract 2022 569 — 576 ."}	{"Cancer Lett 143 : 87 — 94 .","Petersson S , Shubbar E , Yhr l \\\\ ’ I , Kovacs A , Enerback C ( 2011 ) Loss of ICAl\\\\/I -1 signaling induces psoriasin ( S100A7 ) and lVIUC1 in mammary epithelial cells ."}	0.352
RELATION_GENEHPOTERM_journal.pone.0074458.pdf_743_743_10_10_25_25	CG/HP:0001297|Stroke	{10}	{25}	{Miller,AA,",",Dusting,GJ,",",Roulston,CL,",",Sobey,CG,(,2006,),NADPH-oxidase,activity,is,elevated,in,penumbral,and,non-ischemic,cerebral,arteries,following,stroke,.}	{"doi : 10.1002 / jnr .21700 .","PubMed : 18438942 ."}	{"Brain Res 1111 : 111-116 .","doi :10.1016 / j. brainres ."}	0.556
RELATION_GENEHPOTERM_journal.pone.0013764.pdf_513_513_24_24_14_15	insulin/HP:0003003|Colon cancer	{24}	{14,15}	{Furthermore,",",C/EBP,-,[,3,regulates,energy,balance,",",and,promotes,growth,of,colon,cancer,cells,in,part,via,activation,of,IGF-l,",",insulin,",",and,leptin,[,52,],.}	{"cells [ 49 ] .","In addition , C/EBP-B activates a variety of pro-survival and pro-metastatic genes , enhancing resistance to apoptosis in multiple myeloma and prostate carcinoma cells [ 50,51 ] ."}	{"Lastly , C/EBP - [ 3 activates Bcl-xL expression in breast and lung cancer cells exposed to CSC [ 37 ] ( and our current experiments ) .","The speciﬁc isoforms of C/EBP - [ 3 activating miR-31 and LOC554202 , and the mechanisms mediating prolonged upregulation of this miRNA and its host gene in respiratory epithelia and lung cancer cells following CSC exposure are a focus of ongoing investigation in our laboratory ."}	0.494
RELATION_GENEHPOTERM_SUP_F_H_journal.pone.0006919.pdf_162_162_5_5_20_20_UNSUP	DMR/scientific	{5}	{20}	{Samples,were,observed,with,a,DMR,Leica,microscope,and,images,were,captured,with,a,Cool,Snap,HQ,camera,(,Roper,Scientiﬁc,),controlled,by,Metamorph,software,(,Roper,Scientiﬁc,),.}	{"The nuclear DNA was stained with 0.1 pg/mL DAPI in PBS ( pH 7.2 ) for 4 min .","Cells were mounted in Shandon Immu-Mount medium ( Thermo Scientiﬁc ) ."}	{"Final images are composed of arithmetic stacks of l5 — 25 deconvolued images , each 0.2 LLM in z-step .","Stacks of 15 — 30 images ( 16 bit grayscale ) were acquired with a z-step of 0.2 pm with low illumination intensity ."}	0.258
RELATION_GENEHPOTERM_journal.pone.0091969.pdf_129_129_20_20_31_31	S8/HP:0002155|Hypertriglyceridemia	{20}	{31}	{Only,diabetic,drugs,in,the,past,six,months,",",patients,with,morbid,obesity,",",patients,were,included,who,had,HbAlc,S8,(,64,mmol/mol,),",",in,pendulous,abdomen,",",severe,hypertriglyceridemia,and,/,or,or,use,of}	{"Inclusion criteria were a 2 - adipocytokines .","The following were excluded : patients with type year or longer history of DM2 at study entry , in stable treatment 1 diabetes , patients with previous treatment with other antifor the last six months with metformin ( l. 5 — 2 g/day ) ."}	{"PLOS ONE | www .","p | osone.org 4 March 2014 | Volume 9 | Issue 3 | e91969"}	0.394
RELATION_GENEHPOTERM_journal.pone.0050747.pdf_268_268_29_29_40_42	FGFR4/HP:0002860|Squamous cell carcinoma	{29}	{40,41,42}	{da,Costa,Andrade,V,",",Parise,O,",",Hors,C,",",1VIartins,P,",",Silva,A,",",et,al.,(,2007,),The,fibroblast,growth,factor,receptor,4,(,FGFR4,),Arg388,allele,correlates,with,survival,in,head,and,neck,squamous,cell,carcinoma,.}	{"J Clin Oncol 23 : 7307 — 731 1 .","12 ."}	{"Exp 1 \\\\ ’ Iol Pathol 82 : 53457 .","Rodrigues ANI2 , Rodrigues RV2 , Rodrigues ."}	0.514
RELATION_GENEHPOTERM_journal.pone.0054623.pdf_33_33_5_5_13_13	IL-18/HP:0002099|Asthma	{5}	{13}	{However,",",the,role,of,IL-18,is,considered,controversial,in,some,experimental,mouse,asthma,models,[,12,],and,it,is,still,unknown,whether,overexpression,of,IL-18,in,the,lungs,alters,AHR,and,pulmonary,inﬂammation,in,asthma,.}	{"| nt | - oduction also plays an important role in the pathogenesis of other inﬂammatory diseases such as atopic dermatitis , rheumatoid arthritis ( RA ) , adult-onset Still ’s disease , Sjogren ’s syndrome , and inﬂammatory bowel diseases including Crohn ’s disease [ 6 ] [ lO — 11 ] .","Furthermore , many lines of evidence suggest that IL-18 plays a key role in the pathogenesis of pulmonary inﬂammatory diseases including pulmonary infection , pulmonary ﬁbrosis , lung injury and chronic obstructive pulmonary disease ( COPD ) [ l2 — l5 ] ."}	{"In this study , we examined whether overexpression of IL - 1 8 protein in the lungs induces AHR and pulmonary inﬂammation in a mouse model of asthma .","Asthma is a prevalent disease with annual worldwide deaths from asthma estimated at over 250,000 [ 1 ] ."}	0.5
RELATION_GENEHPOTERM_SCPDFS_19486.pdf_7_7_7_7_14_16	GSTA1/HP:0001677|Coronary artery disease	{7}	{14,15,16}	{GSTM1,",",GSTT1,",",GSTP1,",",and,GSTA1,genetic,variants,are,not,associated,with,coronary,artery,disease,in,Taiwan}	{"journal homepage : www .","e | sevier.com/locate/gene"}	{"® CrossMark","Hseng-Long Yeh a ' b , Li-Tang Kuo C , Fung-Chang Sung d , Cheng-Wen Chiang 9 , Chih-Ching Yeh a 'd ' *"}	0.498
RELATION_GENEHPOTERM_SCPDFS_260.pdf_310_310_11_11_1_1	ZFX/HP:0001909|Leukemia	{11}	{1}	{Human,leukemia,samples,show,a,significant,increase,in,the,expression,of,ZFX,and,its,expressed,human,gametolog,ZFY,(,Figure,S4A,),.}	{"The resulting Zfx-deficient c-Kit ’ CD14 \\" cells grew poorly in cytokine-supplemented liquid culture , confirming the loss of proliferative capacity ( Figure 4G ) .","These results suggest that Zfx opposes the differentiation of murine AML cells grown in the presence of BM stroma ."}	{"Several Zfx-specific lentiviral small hairpin RNA ( shRNA ) constructs impaired cell growth in the human Notch | C-dependent T-ALL line RPMI-8402 , MA9-expressing AML cell line NOMO-1 , and in three additional leukemia cell lines ( Figures S4B .","— ."}	0.562
RELATION_GENEHPOTERM_journal.pone.0068171.pdf_592_592_7_7_20_21	AM/HP:0012125|Prostate cancer	{7}	{20,21}	{Shiozawa,Y,",",Pedersen,EA,",",Havens,AM,",",Jung,Y,",",Mishra,A,et,al.,(,2011,),Human,prostate,cancer,metastases,target,the,hematopoietic,stem,cell,niche,to,establish,footholds,in,mouse,bone,marrow,.}	{"doi :10.1038 / nature10160 .","PubMed : 21654805 ."}	{"J Clin Invest 121 : 1298-1312 .","doi :10.1172 / JCI43414 ."}	0.452
RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0009992.pdf_456_456_21_21_33_33_UNSUP	p16/HP:0002861|Melanoma	{21}	{33}	{Bartkova,J,",",Lukas,J,",",Guldberg,P,",",Alsner,J,",",Kirkin,AF,",",et,al.,(,1996,),The,p16,»,cyclin,D/Cdk4-pRb,pathway,as,a,functional,unit,frequently,altered,in,melanoma,pathogenesis,.}	{"Pathology 38 : 2874301 .","4 ."}	{"Cancer Res 56 : 547545483 .","5 ."}	0.812
RELATION_GENEHPOTERM_SUP_MAP_SCPDFS_45910.pdf_20_20_13_13_11_11_UNSUP	RB/HP:0009919|Retinoblastoma	{13}	{11}	{Replicative,senescence,can,also,be,triggered,directly,via,activation,of,the,retinoblastoma,(,RB,),tumor,suppressor,through,its,main,upstream,inducer,",",the,cdk,inhibitor,p16INK4a,(,hereafter,p16,),[,"6,7",],),;,these,proteins,comprise,the,p16/RB,senescence,pathway,",",the,second,major,mechanism,to,bring,about,senescence,.}	{"Corresponding author : Gorospe , M. ( myriam-gorospe@nih.gov ) .","transcriptional target p21Cip1 ( hereafter p21 ) , an inhibitor of cyclin — dependent kinases ( cdks ) , are key components of one of the major senescence-regulatory mechanisms , the p53/p21 senescence pathway ."}	{"Among the connections between both senescence pathways , the p53 — induced p21 can also activate RB ( Figure 1 ) .","Additional gene expression programs central to the senescent phenotype , some related to the p53/p21 and p16/RB pathways , some independent of these pathways ( Figure 1 ) , are described below ."}	0.706
RELATION_GENEHPOTERM_SCPDFS_27402.pdf_18_18_56_56_63_63	C2/HP:0001909|Leukemia	{56}	{63}	{The,duplicated,genes,on,chromosomal,band,6p2l,.3,include,the,genes,for,type,11,collagen,a2,subunit,(,COL11A2,),",",NOTCH4,(,mouse,int-3,homologue,),",",70,kDa,heat,shock,protein,(,HSPAI,A,",",HSPAI,B,",",and,HSPAIL,),",",valyl,—,tRNA,synthetase,2,(,VARS2,),",",complement,components,(,C2,and,C4,),",",pre-B,cell,leukemia,transcription,factor,2,(,PBX2,),",",retinoid,X,receptor,ﬂ,(,RXRB,),",",NAT/RING3,",",and,four,other,proteins,.}	{Abstract,"Phylogenetic analyses indicated that a series of paralogous gene pairs , found in two extensive regions on human chromosomal bands 6p2l .3 and 9q33 — 34 , were created by at least two independent duplications ."}	{"Their paralogous genes on chromosomal band 9q33-34 are genes for type 5 collagen ocl subunit ( COL5A1 ) , NOTCH ] , 78 kDa glucose-regulated protein ( HSPA5 ) , valyl — tRNA synthetase 1 ( I/ARS1 ) , complement component V ( C5 ) , PBX3 , retinoid X receptor at ( RXRA ) , ORFX/RINGSL , and others .","Among these , the genes for collagen , complement components , NAT / RIN G3 , PBX , and RXR appear to have been duplicated around the time of vertebrate emergence , supporting the idea that they were duplicated simultaneously at that time ."}	0.468
RELATION_GENEHPOTERM_journal.pone.0032784.pdf_450_450_20_20_33_34	ABCB1/HP:0012125|Prostate cancer	{20}	{33,34}	{Sissung,TNI,",",Baum,CE,",",Deeken,J,",",Price,DK,",",Aragon-Ching,J,",",et,al.,(,2008,),ABCB1,genetic,variation,inﬂuences,the,toxicity,and,clinical,outcome,of,patients,with,androgen-independent,prostate,cancer,treated,with,docetaxel,.}	{"de Bakker PI , Yelensky R , Pe’er 1 , Gabriel SB , Daly IVIJ , et al. ( 2005 ) Elliciency and power in genetic association studies .","Nat Genet 37 : l2l7 * l223 ."}	{"Clin Cancer Res 14 : 4543 — 4.549 .","Lu PH , VVei NIX , YangJ , Liu X , Tao GQ et al. ( 2010 ) Association between two polymorphisms of ABCB1 and breast cancer risk in the current studies : a meta » analysis ."}	0.498
RELATION_GENEHPOTERM_journal.pone.0084496.pdf_28_28_17_17_4_4	BMP4/HP:0001909|Leukemia	{17}	{4}	{MSC,with,the,REH,leukemia,cell,line,",",but,not,CD34,+,hematopoietic,progenitors,",",powerfully,enhanced,BMP4,production,",",suggesting,an,intimate,crosstalk,among,ALL,.}	{"In addition , co — cu | turing ALL .","— ."}	{"— .","MSCs isolated from BM colonized by ALL cells that presumably also occurs in situ conditions ."}	0.456
RELATION_GENEHPOTERM_journal.pone.0084150.pdf_28_28_39_39_31_33	FIS1/HP:0004808|Acute myeloid leukemia	{39}	{31,32,33}	{Citation,:,Tian,Y,",",Huang,Z,",",Wang,Z,",",Yin,C,",",Zhou,L,",",et,al.,(,2014,),Identiﬁcation,of,Novel,Molecular,Markers,for,Prognosis,Estimation,of,Acute,Myeloid,Leukemia,:,Over-Expression,of,PDCD7,",",FIS1,and,Ang2,May,Indicate,Poor,Prognosis,in,Pretreatment,Patients,with,Acute,Myeloid,Leukemia,.}	{"AML .","Hence , PDCD7 , Ang2 and FIS1 may indicate a more aggressive form and poor prognosis of AML ."}	{"PLoS ONE 9 ( 1 ) : e84150 .","doi :10.1371 / journa | ."}	0.464
RELATION_GENEHPOTERM_journal.pone.0016138.pdf_265_265_27_27_21_21	RBL2/HP:0009919|Retinoblastoma	{27}	{21}	{Antiproliferative,proteins,like,CDKNIA,and,PTEN,inhibit,kinase,activity,of,CCNDl,/,CDK4,/,6,complexes,and,thus,prevent,phosphorylation,of,retinoblastoma,proteins,RB1,",",RBLI,and,RBL2,.}	{"B PLoS ONE | www .","p | osone.org which bind to EQF-responsive promoters and are integrated in a complex upstream and downstream regulatory network ."}	{"Hypophosphorylated retinoblastoma proteins in turn associate EQF transcription factors and thereby inhibit cell cycle progression [ 57,58 ] .","MiR-l7 , -20 a , and - l06b target all mentioned proteins involved in this network , and from the functional interactions described , one “ ﬁnal ” goal of this regulatory pathway seems to be the control of EQF activity ."}	0.474
RELATION_GENEHPOTERM_journal.pone.0063872.pdf_525_525_16_16_31_32	PC/HP:0012125|Prostate cancer	{16}	{31,32}	{Shanmugam,l,"\\\\",’,IK,",",Ong,TH,",",Kumar,AP,",",Lun,CK,",",Ho,PC,",",et,al,(,2012,),Ursolic,acid,inhibits,the,initiation,",",progression,of,prostate,cancer,and,prolongs,the,survival,ofTRAl,"\\\\",’,lP,mice,by,modulating,pro-inflammatory,pathways,.}	{"Med Chem Lett 20 : 408841090 .","6 ."}	{"PLoS One 7 : e32476 .","Sultana N. ( 201 1 ) Clinically useful anticancer , antitumor , and antiwrinkle agent , ursolic acid and related derivatives as medicinally important natural product ."}	0.392
